chart_id,slug,title,url,has_map_tab,max_time,min_time,default_tab,is_published,entity_type,single_year_data,len_years,has_timeline
20,average-height-of-men-for-selected-countries,Average height of men by decade of birth,https://ourworldindata.org/grapher/average-height-of-men-for-selected-countries?tab=map,Yes,2000,1550,,True,,No,37,Yes
26,trade-openness,Trade openness,https://ourworldindata.org/grapher/trade-openness?tab=map,Yes,2024,1960,map,False,,No,65,Yes
27,trade-openness-in-europe,Historical trade openness in Europe,https://ourworldindata.org/grapher/trade-openness-in-europe?tab=map,Yes,1949,1815,,True,,No,135,Yes
31,share-of-the-population-with-no-formal-education-with-projections,Share of the population with no formal education with projections,https://ourworldindata.org/grapher/share-of-the-population-with-no-formal-education-with-projections?tab=map,Yes,2100,1950,map,True,,No,31,Yes
44,lung-cancer-deaths-per-100000-by-sex-1950-2002,Lung cancer death rates,https://ourworldindata.org/grapher/lung-cancer-deaths-per-100000-by-sex-1950-2002,No,2023,1950,,True,,No,74,Yes
46,mobile-cellular-subscriptions-by-country,Mobile phone subscriptions,https://ourworldindata.org/grapher/mobile-cellular-subscriptions-by-country?tab=map,Yes,2024,1980,map,True,,No,53,Yes
51,correlation-between-child-mortality-and-mean-years-of-schooling-for-those-aged-15-and-older,Child mortality vs. average years of schooling  for women,https://ourworldindata.org/grapher/correlation-between-child-mortality-and-mean-years-of-schooling-for-those-aged-15-and-older,No,2040,1950,,True,,No,259,Yes
52,wage-of-craftsmen-relative-to-that-of-laborers-in-england-1200-2000,Wage of craftsmen relative to that of laborers in England,https://ourworldindata.org/grapher/wage-of-craftsmen-relative-to-that-of-laborers-in-england-1200-2000,No,2000,1220,,True,,No,78,Yes
53,labor-cost-ratio-and-attainment-levels-2009-or-latest-available-year,Labor cost ratio and attainment levels,https://ourworldindata.org/grapher/labor-cost-ratio-and-attainment-levels-2009-or-latest-available-year,No,2009,2009,,False,,Yes,1,Yes
56,total-number-of-people-aged-15-with-no-education-in-millions-by-continent-1970-2050,Number of adults with no formal education by region,https://ourworldindata.org/grapher/total-number-of-people-aged-15-with-no-education-in-millions-by-continent-1970-2050,No,2100,1950,,True,region,No,31,Yes
64,life-expectancy,Life expectancy,https://ourworldindata.org/grapher/life-expectancy?tab=map,Yes,2023,1543,,True,,No,315,Yes
73,broadband-penetration-by-country,Landline Internet subscriptions per 100 people,https://ourworldindata.org/grapher/broadband-penetration-by-country?tab=map,Yes,2024,1998,,True,,No,27,Yes
75,pupil-teacher-ratio-for-primary-education-by-country,Pupils per qualified teacher in primary education,https://ourworldindata.org/grapher/pupil-teacher-ratio-for-primary-education-by-country?tab=map,Yes,2024,1999,map,True,,No,26,Yes
92,united-nations-peacekeeping-forces,United Nations peacekeepers on active missions by type,https://ourworldindata.org/grapher/united-nations-peacekeeping-forces,No,2021,1992,,True,,No,75,Yes
93,un-peacekeeping-forces,United Nations peacekeepers on active missions,https://ourworldindata.org/grapher/un-peacekeeping-forces,No,2021,1947,,True,,No,75,Yes
94,number-un-peacekeeping-missions,Number of active United Nations peacekeeping missions,https://ourworldindata.org/grapher/number-un-peacekeeping-missions,No,2022,1947,,True,,No,76,Yes
95,number-of-nuclear-weapons-tests,Nuclear weapons tests per year,https://ourworldindata.org/grapher/number-of-nuclear-weapons-tests,No,2023,1945,,True,,No,79,Yes
96,nuclear-warhead-stockpiles,Estimated share of nuclear warhead stockpiles,https://ourworldindata.org/grapher/nuclear-warhead-stockpiles,No,latest,earliest,,True,country or region,No,80,Yes
97,reported-cases-of-measles,Reported cases of measles,https://ourworldindata.org/grapher/reported-cases-of-measles?tab=map,Yes,2023,1974,map,True,,No,50,Yes
