chart_id,slug,title,url,has_map_tab,max_time,min_time,default_tab,is_published,entity_type,single_year_data,len_years,has_timeline
20,average-height-of-men-for-selected-countries,Average height of men by decade of birth,https://ourworldindata.org/grapher/average-height-of-men-for-selected-countries?tab=map,Yes,2000,1550,,True,,No,37,Yes
27,trade-openness-in-europe,Historical trade openness in Europe,https://ourworldindata.org/grapher/trade-openness-in-europe?tab=map,Yes,1949,1815,,True,,No,135,Yes
31,share-of-the-population-with-no-formal-education-with-projections,Share of the population with no formal education with projections,https://ourworldindata.org/grapher/share-of-the-population-with-no-formal-education-with-projections?tab=map,Yes,2100,1950,map,True,,No,31,Yes
46,mobile-cellular-subscriptions-by-country,Mobile phone subscriptions,https://ourworldindata.org/grapher/mobile-cellular-subscriptions-by-country?tab=map,Yes,2024,1980,map,True,,No,53,Yes
64,life-expectancy,Life expectancy,https://ourworldindata.org/grapher/life-expectancy?tab=map,Yes,2023,1543,,True,,No,315,Yes
73,broadband-penetration-by-country,Landline Internet subscriptions per 100 people,https://ourworldindata.org/grapher/broadband-penetration-by-country?tab=map,Yes,2024,1998,,True,,No,27,Yes
75,pupil-teacher-ratio-for-primary-education-by-country,Pupils per qualified teacher in primary education,https://ourworldindata.org/grapher/pupil-teacher-ratio-for-primary-education-by-country?tab=map,Yes,2024,1999,map,True,,No,26,Yes
97,reported-cases-of-measles,Reported cases of measles,https://ourworldindata.org/grapher/reported-cases-of-measles?tab=map,Yes,2023,1974,map,True,,No,50,Yes
126,life-expectancy-at-age-15,Life expectancy at age 15,https://ourworldindata.org/grapher/life-expectancy-at-age-15?tab=map,Yes,2100,1751,map,True,,No,350,Yes
134,trade-as-share-of-gdp,Trade as a share of GDP,https://ourworldindata.org/grapher/trade-as-share-of-gdp?tab=map,Yes,2024,1960,map,True,,No,65,Yes
136,foreign-direct-investment-net-inflows-as-share-of-gdp,"Foreign direct investment, net inflows as share of GDP",https://ourworldindata.org/grapher/foreign-direct-investment-net-inflows-as-share-of-gdp?tab=map,Yes,2024,1970,map,True,,No,55,Yes
144,press-freedom-fh,Press freedom,https://ourworldindata.org/grapher/press-freedom-fh?tab=map,Yes,2016,1979,map,True,,No,36,Yes
160,incidence-of-child-labour,Share of children in employment,https://ourworldindata.org/grapher/incidence-of-child-labour?tab=map,Yes,2016,1994,,True,,No,21,Yes
164,share-of-working-children-who-work-only,Share of working children who do not attend school,https://ourworldindata.org/grapher/share-of-working-children-who-work-only?tab=map,Yes,2016,1994,,True,,No,21,Yes
189,gdp-per-capita-penn-world-table,GDP per capita,https://ourworldindata.org/grapher/gdp-per-capita-penn-world-table?tab=map,Yes,2023,1950,map,True,,No,74,Yes
194,population-growth-rates,Population growth rate,https://ourworldindata.org/grapher/population-growth-rates?tab=map,Yes,2100,1950,,True,,No,151,Yes
207,total-healthcare-expenditure-gdp,Total healthcare spending as a share of GDP,https://ourworldindata.org/grapher/total-healthcare-expenditure-gdp?tab=map,Yes,2022,2000,map,True,,No,23,Yes
209,share-of-public-expenditure-on-healthcare-by-country,Public spending on healthcare as percent of total healthcare spending,https://ourworldindata.org/grapher/share-of-public-expenditure-on-healthcare-by-country?tab=map,Yes,2023,2000,map,True,,No,24,Yes
210,share-of-out-of-pocket-expenditure-on-healthcare,Share of out-of-pocket spending on healthcare,https://ourworldindata.org/grapher/share-of-out-of-pocket-expenditure-on-healthcare?tab=map,Yes,2023,2000,map,True,,No,24,Yes
225,gdp-per-capita-worldbank,GDP per capita,https://ourworldindata.org/grapher/gdp-per-capita-worldbank?tab=map,Yes,2024,1990,map,True,,No,35,Yes
226,children-born-per-woman,Total fertility rate: births per woman,https://ourworldindata.org/grapher/children-born-per-woman?tab=map,Yes,2023,1891,,True,,No,133,Yes
230,children-per-woman-un,Fertility rate: births per woman,https://ourworldindata.org/grapher/children-per-woman-un?tab=map,Yes,2023,1950,map,True,,No,74,Yes
235,children-died-before-five-per-woman,Number of child deaths per woman,https://ourworldindata.org/grapher/children-died-before-five-per-woman?tab=map,Yes,2023,1800,,True,,No,224,Yes
241,labor-productivity-per-hour-pennworldtable,Productivity: output per hour worked,https://ourworldindata.org/grapher/labor-productivity-per-hour-pennworldtable?tab=map,Yes,2023,1950,map,True,,No,74,Yes
249,happiness-cantril-ladder,Self-reported life satisfaction,https://ourworldindata.org/grapher/happiness-cantril-ladder?tab=map,Yes,2024,2011,map,True,country,No,13,Yes
254,median-age,Median age,https://ourworldindata.org/grapher/median-age?tab=map,Yes,2100,1950,,True,,No,151,Yes
259,physical-integrity-rights-score-fariss-kenwick-reuning,Physical integrity rights score,https://ourworldindata.org/grapher/physical-integrity-rights-score-fariss-kenwick-reuning?tab=map,Yes,2019,1946,map,True,,No,74,Yes
287,public-health-insurance-coverage,Public health insurance coverage in Western Europe,https://ourworldindata.org/grapher/public-health-insurance-coverage?tab=map,Yes,1975,1910,,True,,No,3,Yes
295,self-reported-trust-attitudes,"Share of people agreeing with the statement ""most people can be trusted""",https://ourworldindata.org/grapher/self-reported-trust-attitudes?tab=map,Yes,2022,1984,map,True,,No,7,Yes
297,human-development-index,Human Development Index,https://ourworldindata.org/grapher/human-development-index?tab=map,Yes,2023,1990,map,True,,No,34,Yes
299,share-of-children-vaccinated-against-measles,Share of one-year-olds vaccinated against measles,https://ourworldindata.org/grapher/share-of-children-vaccinated-against-measles?tab=map,Yes,2024,1980,map,True,,No,45,Yes
304,interpersonal-trust-in-europe,Interpersonal trust in Europe,https://ourworldindata.org/grapher/interpersonal-trust-in-europe?tab=map,Yes,2013,2013,map,True,,Yes,1,Yes
311,prevalence-of-undernourishment,Share of people who are undernourished,https://ourworldindata.org/grapher/prevalence-of-undernourishment?tab=map,Yes,2023,2000,,True,,No,24,Yes
317,primary-enrollment-selected-countries,Share of children in primary school age who are in school,https://ourworldindata.org/grapher/primary-enrollment-selected-countries?tab=map,Yes,2024,1820,,True,,No,73,Yes
318,primary-school-attendance-selected-countries,Net attendance rate of primary school,https://ourworldindata.org/grapher/primary-school-attendance-selected-countries?tab=map,Yes,2024,2000,map,True,,No,25,Yes
319,mean-years-of-schooling-long-run,Average years of schooling,https://ourworldindata.org/grapher/mean-years-of-schooling-long-run?tab=map,Yes,2020,1870,map,True,,No,35,Yes
320,gender-ratios-for-mean-years-of-schooling,"Average years of schooling, adjusted gender parity index",https://ourworldindata.org/grapher/gender-ratios-for-mean-years-of-schooling?tab=map,Yes,2023,1970,map,True,region,No,53,Yes
323,share-food-exports,Share of food products in total merchandise exports,https://ourworldindata.org/grapher/share-food-exports?tab=map,Yes,2024,1962,,True,,No,63,Yes
324,share-manufacture-exports,Share of manufactured products in total merchandise exports,https://ourworldindata.org/grapher/share-manufacture-exports?tab=map,Yes,2024,1962,,True,,No,63,Yes
328,data-deprivation-poverty-surveys-per-decade,Number of income/consumption surveys in the past decade available via the World Bank,https://ourworldindata.org/grapher/data-deprivation-poverty-surveys-per-decade?tab=map,Yes,2024,1963,map,True,,No,62,Yes
333,tax-revenues-as-a-share-of-gdp-unu-wider,Tax revenues as a share of GDP,https://ourworldindata.org/grapher/tax-revenues-as-a-share-of-gdp-unu-wider?tab=map,Yes,2023,1980,map,True,,No,44,Yes
336,taxes-on-incomes-of-individuals-and-corporations-gdp,Taxes on incomes of individuals and corporations,https://ourworldindata.org/grapher/taxes-on-incomes-of-individuals-and-corporations-gdp?tab=map,Yes,2022,1980,map,True,,No,43,Yes
